법정동명,num,시군구명
가락동,2198,송파구
가리봉동,562,구로구
가산동,763,금천구
가양동,5719,강서구
가회동,169,종로구
갈월동,485,용산구
갈현동,4098,은평구
강일동,1724,강동구
개봉동,4209,구로구
개포동,4423,강남구
개화동,1600,강서구
거여동,2956,송파구
견지동,384,종로구
경운동,384,종로구
계동,169,종로구
고덕동,1508,강동구
고척동,2529,구로구
공덕동,2712,마포구
공릉동,5683,노원구
공평동,384,종로구
공항동,3052,강서구
과해동,1264,강서구
관수동,384,종로구
관철동,384,종로구
관훈동,384,종로구
광장동,3026,광진구
광희동1가,217,중구
광희동2가,217,중구
교남동,330,종로구
교북동,330,종로구
구기동,489,종로구
구로동,5454,구로구
구산동,2143,은평구
구수동,663,마포구
구의동,6367,성동구
군자동,2212,성동구
궁동,2420,구로구
궁정동,421,종로구
권농동,384,종로구
금호동1가,647,성동구
금호동2가,936,성동구
금호동3가,936,성동구
금호동4가,530,성동구
길동,2894,강동구
길음동,2486,성북구
낙원동,384,종로구
남가좌동,1734,서대문구
남대문로1가,99,중구
남대문로2가,134,중구
남대문로3가,298,중구
남대문로4가,298,중구
남대문로5가,263,중구
남산동1가,99,중구
남산동2가,99,중구
남산동3가,99,중구
남영동,485,용산구
남창동,263,중구
남학동,178,중구
남현동,562,관악구
내곡동,818,서초구
내발산동,2759,강서구
내수동,270,종로구
내자동,270,종로구
냉천동,688,서대문구
노고산동,1090,마포구
노량진동,1746,동작구
노유동,1714,광진구
녹번동,1628,은평구
논현동,1026,강남구
누상동,421,종로구
누하동,421,종로구
능동,6350,성동구
다동,99,중구
답십리동,2461,동대문구
당산동,920,영등포구
당산동1가,795,영등포구
당산동2가,795,영등포구
당산동3가,795,영등포구
당산동4가,920,영등포구
당산동5가,920,영등포구
당산동6가,920,영등포구
당인동,671,마포구
당주동,270,종로구
대림동,3400,영등포구
대방동,1512,동작구
대신동,455,서대문구
대조동,1230,은평구
대치동,2385,강남구
대현동,974,서대문구
대흥동,1715,마포구
도곡동,2052,강남구
도렴동,270,종로구
도림동,887,영등포구
도봉동,5902,도봉구
도선동,999,성동구
도원동,443,용산구
도화동,2762,마포구
독산동,10340,금천구
돈암동,4197,성북구
돈의동,384,종로구
동교동,638,마포구
동빙고동,347,용산구
동선동1가,526,성북구
동선동2가,526,성북구
동선동3가,526,성북구
동선동4가,526,성북구
동선동5가,526,성북구
동소문동1가,524,성북구
동소문동2가,799,성북구
동소문동3가,799,성북구
동소문동4가,524,성북구
동소문동5가,799,성북구
동소문동6가,526,성북구
동소문동7가,526,성북구
동숭동,299,종로구
동자동,485,용산구
동작동,931,동작구
둔촌동,909,강동구
등촌동,5097,강서구
마곡동,5333,강서구
마장동,1009,성동구
마천동,2387,송파구
마포동,1307,마포구
만리동1가,541,중구
만리동2가,541,중구
망우동,2885,중랑구
망원동,2680,마포구
면목동,7937,동대문구
명동1가,99,중구
명동2가,99,중구
명륜1가,552,종로구
명륜2가,552,종로구
명륜3가,552,종로구
명륜4가,552,종로구
명일동,1245,강동구
모진동,1062,광진구
목동,4180,양천구
묘동,384,종로구
무교동,99,중구
무악동,322,종로구
무학동,383,중구
묵동,2312,중랑구
묵정동,365,중구
문래동1가,917,영등포구
문래동2가,917,영등포구
문래동3가,917,영등포구
문래동4가,917,영등포구
문래동5가,917,영등포구
문래동6가,917,영등포구
문배동,431,용산구
문정동,3585,송파구
미근동,725,서대문구
미아동,6521,강북구
반포동,2230,서초구
방배동,3220,서초구
방산동,95,중구
방이동,1494,송파구
방학동,3768,도봉구
방화동,6582,강서구
번동,12588,강북구
보광동,517,용산구
보문동1가,616,성북구
보문동2가,616,성북구
보문동3가,616,성북구
보문동4가,616,성북구
보문동5가,616,성북구
보문동6가,616,성북구
보문동7가,616,성북구
본동,1228,동작구
봉래동1가,298,중구
봉래동2가,263,중구
봉원동,455,서대문구
봉익동,384,종로구
봉천동,7820,관악구
부암동,314,종로구
북가좌동,2195,서대문구
북아현동,1244,서대문구
북창동,35,중구
불광동,3094,은평구
사간동,108,종로구
사근동,352,성동구
사당동,3529,동작구
사직동,270,종로구
산림동,95,중구
산천동,458,용산구
삼각동,99,중구
삼선동1가,799,성북구
삼선동2가,799,성북구
삼선동3가,799,성북구
삼선동4가,799,성북구
삼선동5가,799,성북구
삼성동,870,강남구
삼전동,1900,송파구
삼청동,108,종로구
상계동,10469,노원구
상도1동,1495,동작구
상도동,4813,동작구
상봉동,2196,중랑구
상수동,671,마포구
상암동,1150,마포구
상왕십리동,999,성동구
상월곡동,883,성북구
상일동,3480,강동구
서계동,786,용산구
서교동,638,마포구
서린동,384,종로구
서빙고동,347,용산구
서소문동,35,중구
서초동,3036,서초구
석관동,1724,성북구
석촌동,1019,송파구
성내동,2586,강동구
성북동,524,성북구
성북동1가,524,성북구
성산동,2635,마포구
성수동1가,985,성동구
성수동2가,1119,성동구
세곡동,1982,강남구
세종로,1075,종로구
소격동,108,종로구
소공동,35,중구
송월동,330,종로구
송정동,1087,성동구
송파동,1169,송파구
송현동,108,종로구
수색동,798,은평구
수서동,3881,강남구
수송동,384,종로구
수유동,13195,강북구
수표동,99,중구
수하동,99,중구
순화동,298,중구
숭인동,693,종로구
시흥동,11800,금천구
신계동,431,용산구
신공덕동,1455,마포구
신교동,421,종로구
신길동,5299,영등포구
신내동,3497,중랑구
신당동,3357,중구
신대방동,1615,동작구
신도림동,962,구로구
신림동,10997,관악구
신문로1가,270,종로구
신문로2가,270,종로구
신사동,7019,은평구
신설동,1658,동대문구
신수동,1115,마포구
신영동,314,종로구
신원동,818,서초구
신월동,6558,양천구
신정동,8269,마포구
신창동,458,용산구
신천동,815,송파구
신촌동,455,서대문구
쌍림동,217,중구
쌍문동,3520,도봉구
아현동,2185,마포구
안국동,108,종로구
안암동1가,550,성북구
안암동2가,550,성북구
안암동3가,550,성북구
안암동4가,550,성북구
안암동5가,550,성북구
암사동,2753,강동구
압구정동,2779,강남구
양재동,3406,서초구
양평동,591,영등포구
양평동1가,661,영등포구
양평동2가,661,영등포구
양평동3가,1252,영등포구
양평동4가,591,영등포구
양평동5가,591,영등포구
양평동6가,591,영등포구
양화동,591,영등포구
여의도동,786,영등포구
역삼동,1368,강남구
역촌동,2129,은평구
연건동,299,종로구
연남동,477,마포구
연지동,242,종로구
연희동,1141,서대문구
염곡동,818,서초구
염리동,1857,마포구
염창동,2606,강서구
영등포동,2004,영등포구
영등포동1가,950,영등포구
영등포동2가,950,영등포구
영등포동3가,950,영등포구
영등포동4가,950,영등포구
영등포동5가,950,영등포구
영등포동6가,950,영등포구
영등포동7가,950,영등포구
영등포동8가,950,영등포구
영천동,688,서대문구
예관동,217,중구
예장동,277,중구
예지동,384,종로구
오곡동,1264,강서구
오금동,1450,송파구
오류동,3322,구로구
오쇠동,1264,강서구
오장동,217,중구
옥수동,1388,성동구
옥인동,421,종로구
옥천동,688,서대문구
온수동,2420,구로구
와룡동,936,종로구
외발산동,1512,강서구
용강동,600,마포구
용답동,616,성동구
용두동,1658,동대문구
용문동,443,용산구
용산동1가,485,용산구
용산동2가,444,용산구
용산동3가,498,용산구
용산동4가,444,용산구
용산동5가,498,용산구
용산동6가,347,용산구
우면동,1856,서초구
우이동,1037,강북구
운니동,384,종로구
원남동,384,종로구
원서동,169,종로구
원지동,661,서초구
원효로1가,431,용산구
원효로2가,431,용산구
원효로3가,458,용산구
원효로4가,458,용산구
월계동,5074,노원구
율현동,1982,강남구
을지로1가,99,중구
을지로2가,99,중구
을지로3가,95,중구
을지로4가,95,중구
을지로5가,95,중구
을지로6가,217,중구
을지로7가,217,중구
응봉동,543,성동구
응암동,3675,은평구
의주로1가,35,중구
의주로2가,541,중구
이문동,1740,동대문구
이촌동,816,용산구
이태원동,512,용산구
이화동,299,종로구
익선동,384,종로구
인사동,384,종로구
인의동,384,종로구
인현동1가,95,중구
인현동2가,217,중구
일원동,4809,강남구
입정동,95,중구
자곡동,1982,강남구
자양동,6170,광진구
잠실동,2281,송파구
잠원동,911,서초구
장교동,99,중구
장사동,384,종로구
장안동,3014,동대문구
장위동,2404,성북구
장지동,3585,송파구
장충동1가,187,중구
장충동2가,365,중구
재동,169,종로구
저동1가,99,중구
저동2가,95,중구
적선동,270,종로구
전농동,3444,동대문구
정동,35,중구
정릉동,3293,성북구
제기동,1302,동대문구
종로1가,384,종로구
종로2가,384,종로구
종로3가,384,종로구
종로4가,384,종로구
종로5가,242,종로구
종로6가,242,종로구
종암동,1562,성북구
주교동,95,중구
주성동,347,용산구
주자동,178,중구
중계동,2871,노원구
중곡동,7128,광진구
중동,1956,마포구
중림동,541,중구
중학동,384,종로구
중화동,2366,중랑구
증산동,804,은평구
진관동,1932,은평구
창동,8154,도봉구
창성동,421,종로구
창신동,1099,종로구
창전동,671,마포구
창천동,455,서대문구
천연동,688,서대문구
천왕동,2174,구로구
천호동,4299,강동구
청담동,956,강남구
청량리동,1204,동대문구
청암동,458,용산구
청운동,421,종로구
청진동,384,종로구
청파동1가,786,용산구
청파동2가,786,용산구
청파동3가,786,용산구
체부동,270,종로구
초동,95,중구
충무로1가,362,중구
충무로2가,99,중구
충무로3가,178,중구
충무로4가,395,중구
충무로5가,395,중구
충신동,242,종로구
충정로1가,35,중구
충정로2가,725,서대문구
충정로3가,725,서대문구
태평로1가,99,중구
태평로2가,35,중구
토정동,600,마포구
통의동,270,종로구
통인동,421,종로구
팔판동,108,종로구
평동,330,종로구
평창동,489,종로구
포이동,887,강남구
풍납동,3019,송파구
필동1가,178,중구
필동2가,178,중구
필동3가,178,중구
필운동,270,종로구
하계동,2936,노원구
하왕십리동,1625,성동구
하월곡동,3513,성북구
하일동,1724,강동구
하중동,671,마포구
한강로1가,498,용산구
한강로2가,498,용산구
한강로3가,498,용산구
한남동,532,용산구
합동,725,서대문구
합정동,529,마포구
항동,2770,구로구
행당동,1740,성동구
행촌동,330,종로구
현석동,663,마포구
현저동,688,서대문구
혜화동,552,종로구
홍은동,3554,서대문구
홍익동,999,성동구
홍제동,2986,서대문구
홍지동,314,종로구
홍파동,330,종로구
화곡동,9408,강서구
화동,108,종로구
화양동,1062,광진구
황학동,489,중구
회기동,298,동대문구
회현동1가,362,중구
회현동2가,362,중구
회현동3가,362,중구
효자동,421,종로구
효제동,242,종로구
효창동,337,용산구
후암동,696,용산구
훈정동,384,종로구
휘경동,1364,동대문구
흑석동,953,동작구
흥인동,383,중구
